,function_name,id,number,first,next,type
0,yy_accept,0,3074457345618258674,METHOD,void yy_accept (yyParser *yypParser),0
0,yy_accept,1,3074457345618258675,PARAM,yyParser *yypParser,0
0,yy_accept,2,3074457345618258676,BLOCK,<empty>,0
0,yy_accept,3,3074457345618258677,IDENTIFIER,sqlite3ParserARG_FETCH,0
0,yy_accept,4,3074457345618258678,CONTROL_STRUCTURE,if (yyTraceFILE),0
0,yy_accept,5,3074457345618258679,IDENTIFIER,yyTraceFILE,0
0,yy_accept,6,3074457345618258680,BLOCK,<empty>,0
0,yy_accept,7,3074457345618258681,fprintf,"fprintf(yyTraceFILE,""%sAccept!\n"",yyTracePrompt)",0
0,yy_accept,8,3074457345618258682,IDENTIFIER,yyTraceFILE,0
0,yy_accept,9,3074457345618258683,LITERAL,"""%sAccept!\n""",0
0,yy_accept,10,3074457345618258684,IDENTIFIER,yyTracePrompt,0
0,yy_accept,11,3074457345618258685,CONTROL_STRUCTURE,while (yypParser->yyidx>=0),0
0,yy_accept,12,3074457345618258686,greaterEqualsThan,yypParser->yyidx>=0,1
0,yy_accept,13,3074457345618258687,indirectFieldAccess,yypParser->yyidx,1
0,yy_accept,14,3074457345618258688,IDENTIFIER,yypParser,0
0,yy_accept,15,3074457345618258689,FIELD_IDENTIFIER,yyidx,0
0,yy_accept,16,3074457345618258690,LITERAL,0,0
0,yy_accept,17,3074457345618258691,yy_pop_parser_stack,yy_pop_parser_stack(yypParser),0
0,yy_accept,18,3074457345618258692,IDENTIFIER,yypParser,0
0,yy_accept,19,3074457345618258693,IDENTIFIER,sqlite3ParserARG_STORE,0
0,yy_accept,20,3074457345618258694,METHOD_RETURN,void,0
