,function_name,begin,end,type
0,sqlite3ExprFunction,3074457345618258674,3074457345618258675,AST
0,sqlite3ExprFunction,3074457345618258674,3074457345618258676,AST
0,sqlite3ExprFunction,3074457345618258674,3074457345618258677,AST
0,sqlite3ExprFunction,3074457345618258674,3074457345618258726,AST
0,sqlite3ExprFunction,3074457345618258677,3074457345618258678,AST
0,sqlite3ExprFunction,3074457345618258677,3074457345618258679,AST
0,sqlite3ExprFunction,3074457345618258677,3074457345618258681,AST
0,sqlite3ExprFunction,3074457345618258677,3074457345618258686,AST
0,sqlite3ExprFunction,3074457345618258677,3074457345618258695,AST
0,sqlite3ExprFunction,3074457345618258677,3074457345618258700,AST
0,sqlite3ExprFunction,3074457345618258677,3074457345618258705,AST
0,sqlite3ExprFunction,3074457345618258677,3074457345618258711,AST
0,sqlite3ExprFunction,3074457345618258677,3074457345618258717,AST
0,sqlite3ExprFunction,3074457345618258677,3074457345618258724,AST
0,sqlite3ExprFunction,3074457345618258679,3074457345618258680,AST
0,sqlite3ExprFunction,3074457345618258681,3074457345618258682,AST
0,sqlite3ExprFunction,3074457345618258681,3074457345618258683,AST
0,sqlite3ExprFunction,3074457345618258683,3074457345618258684,AST
0,sqlite3ExprFunction,3074457345618258684,3074457345618258685,AST
0,sqlite3ExprFunction,3074457345618258686,3074457345618258687,AST
0,sqlite3ExprFunction,3074457345618258686,3074457345618258690,AST
0,sqlite3ExprFunction,3074457345618258687,3074457345618258688,AST
0,sqlite3ExprFunction,3074457345618258687,3074457345618258689,AST
0,sqlite3ExprFunction,3074457345618258690,3074457345618258691,AST
0,sqlite3ExprFunction,3074457345618258690,3074457345618258693,AST
0,sqlite3ExprFunction,3074457345618258691,3074457345618258692,AST
0,sqlite3ExprFunction,3074457345618258693,3074457345618258694,AST
0,sqlite3ExprFunction,3074457345618258695,3074457345618258696,AST
0,sqlite3ExprFunction,3074457345618258695,3074457345618258699,AST
0,sqlite3ExprFunction,3074457345618258696,3074457345618258697,AST
0,sqlite3ExprFunction,3074457345618258696,3074457345618258698,AST
0,sqlite3ExprFunction,3074457345618258700,3074457345618258701,AST
0,sqlite3ExprFunction,3074457345618258700,3074457345618258704,AST
0,sqlite3ExprFunction,3074457345618258701,3074457345618258702,AST
0,sqlite3ExprFunction,3074457345618258701,3074457345618258703,AST
0,sqlite3ExprFunction,3074457345618258705,3074457345618258706,AST
0,sqlite3ExprFunction,3074457345618258706,3074457345618258707,AST
0,sqlite3ExprFunction,3074457345618258706,3074457345618258710,AST
0,sqlite3ExprFunction,3074457345618258707,3074457345618258708,AST
0,sqlite3ExprFunction,3074457345618258707,3074457345618258709,AST
